Name,Age,mlbID,Lev,Tm,team_abbr,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,position,depth
Trenton Denholm,26,671143,"AA,AAA",CLE,"CLE (AA,AAA)",34.0,25.0,13.0,1.0,163.0,164.0,78.0,0.05635838,139.0,21.0,4.306748825325824,1.2453988768392341,,,,,P,
Tommy Mace,27,676390,"AA,AAA",CLE,"CLE (AA,AAA)",42.0,20.0,12.0,0.0,135.0,102.0,65.0,0.16494845,102.0,13.0,4.333333700674583,1.466666790997551,,,,,P,
Garrett Burhenn,25,696148,AA,DET,DET (AA),26.0,24.0,13.0,0.0,125.0,115.0,58.0,0.06309751,112.0,15.0,4.176,1.184,,,,,P,
Chen Zhong-Ao Zhuang,25,800018,"AA,AAA",OAK,"OAK (AA,AAA)",36.0,34.0,8.0,0.0,186.1,197.0,90.0,0.06030151,176.0,31.0,4.347048463693572,1.3148479921048457,,,,,P,
Orlando Ortiz-Mayr,28,689508,AA,MIA,MIA (AA),30.0,25.0,6.0,0.0,115.1,97.0,59.0,0.14534884,112.0,11.0,4.604046521955897,1.4913295702004035,,,,,P,
Javi Rivera,26,695373,CPX,CIN,CIN (CPX),2.0,2.0,0.0,0.0,6.0,6.0,2.0,0.10714286,4.0,1.0,3.0,1.5,,,,,P,
Frank Mozzicato,23,700924,"A+,AA",KCR,"KCR (A+,AA)",31.0,27.0,3.0,0.0,116.1,95.0,68.0,0.1758034,111.0,17.0,5.260745129428009,1.6160458894321335,,,,,P,
Shane Panzini,24,695556,"A+,AA,AAA",KCR,"KCR (A+,AA,AAA)",37.0,18.0,9.0,1.0,126.1,126.0,63.0,0.11071429,133.0,20.0,4.48812676201085,1.488126686522116,,,,,P,
Ryan Webb,27,669067,AAA,CLE,CLE (AAA),36.0,29.0,8.0,0.0,148.2,140.0,85.0,0.13412817,143.0,16.0,5.1457401963931995,1.5470852878044912,,,,,P,
Jose Montero,22,800017,"A+,AA",CIN,"CIN (A+,AA)",30.0,29.0,7.0,0.0,121.1,121.0,63.0,0.10037175,99.0,10.0,4.673077045510812,1.4423077300959297,,,,,P,
Victor Cabreja,24,800573,"A,A+",PIT,"PIT (A,A+)",31.0,18.0,9.0,0.0,122.0,111.0,51.0,0.08531746,66.0,12.0,3.762295493705444,1.2622952201103232,,,,,P,
Yenrri Rojas,22,805060,"A,A+,AA,CPX",CHC,"CHC (A,A+,AA,CPX)",27.0,24.0,6.0,0.0,119.0,101.0,47.0,0.09330629,102.0,6.0,3.554622197705132,1.2352942389188046,,,,,P,
Yunior Marte,22,805074,"A,A+",SFG,"SFG (A,A+)",30.0,26.0,7.0,0.0,130.0,93.0,40.0,0.08007813,122.0,5.0,2.769230769230769,1.0307692307692307,,,,,P,
Fernando Perez,22,800125,"A+,AA",TOR,"TOR (A+,AA)",30.0,30.0,6.0,0.0,134.0,122.0,51.0,0.07773852,112.0,8.0,3.4253731830849317,1.23880598778235,,,,,P,
Enmanuel Pinales,24,800215,"A+,AA",SDP,"SDP (A+,AA)",25.0,20.0,10.0,1.0,113.2,108.0,56.0,0.09917355,108.0,11.0,4.434017471301801,1.3724339792124622,,,,,P,
Yeriel Santos,22,802105,A+,HOU,HOU (A+),30.0,19.0,3.0,2.0,115.0,124.0,94.0,0.13812155,103.0,18.0,7.356522593218897,1.7304349835113009,,,,,P,
Kevin Valdez,24,703936,"A,A+",CHC,"CHC (A,A+)",27.0,19.0,4.0,0.0,111.1,114.0,54.0,0.13241107,88.0,8.0,4.365269660505176,1.6257485772663312,,,,,P,
Enrique Segura,21,800283,"A,A+,CPX",TEX,"TEX (A,A+,CPX)",27.0,23.0,3.0,0.0,107.2,90.0,59.0,0.09287257,111.0,10.0,4.93188892349477,1.2352942124760913,,,,,P,
Melkis Hernández,21,800292,"A,A+",CLE,"CLE (A,A+)",32.0,22.0,10.0,0.0,139.2,117.0,56.0,0.12227806,145.0,10.0,3.608592148270866,1.3603819606576677,,,,,P,
Nelfy Ynfante,21,800295,"A,AA",STL,"STL (A,AA)",32.0,13.0,5.0,3.0,108.2,106.0,55.0,0.10973085,99.0,11.0,4.5552145906689825,1.4631901412451884,,,,,P,
Wande Torres,21,800485,"A,A+",MIL,"MIL (A,A+)",30.0,28.0,3.0,0.0,114.2,113.0,66.0,0.10714286,115.0,6.0,5.180232414527483,1.4563953084614303,,,,,P,
Eliazar Dishmey,21,803244,"A,A+",MIA,"MIA (A,A+)",27.0,25.0,6.0,0.0,121.1,74.0,39.0,0.125,141.0,4.0,2.8928573096004446,1.1208791854862121,,,,,P,
Cesar Perdomo,24,702885,"A+,AA",SFG,"SFG (A+,AA)",32.0,30.0,10.0,0.0,153.1,139.0,67.0,0.07716049,147.0,13.0,3.932608826101845,1.232608736539384,,,,,P,
Marcos Herrera,21,800154,A,COL,COL (A),28.0,26.0,6.0,0.0,124.1,122.0,71.0,0.12389381,128.0,15.0,5.139410476753681,1.5442360117945333,,,,,P,
Wellington Aracena,21,800286,"A,A+",BAL,"BAL (A,A+)",29.0,19.0,2.0,0.0,110.1,62.0,29.0,0.13555556,138.0,1.0,2.3655590214367557,1.1148036767690457,,,,,P,
Leonel Sequera,20,800320,"A,A+",STL,"STL (A,A+)",31.0,31.0,6.0,0.0,139.0,147.0,78.0,0.08265802,137.0,8.0,5.0503597122302155,1.4244604316546763,,,,,P,
Luis Cohen,23,800324,"A,A+",BOS,"BOS (A,A+)",29.0,18.0,5.0,0.0,107.1,111.0,63.0,0.08668076,79.0,14.0,5.2826089459820365,1.4161491354308104,,,,,P,
Yu-Min Lin,22,801179,AAA,ARI,ARI (AAA),31.0,31.0,7.0,0.0,130.2,158.0,90.0,0.12924071,111.0,19.0,6.1989800744333134,1.8214287132285538,,,,,P,
Walin Castillo,21,801384,A,MIA,MIA (A),28.0,19.0,5.0,0.0,111.0,120.0,63.0,0.11222445,86.0,10.0,5.108108722528012,1.5855857763049914,,,,,P,
Luis De León,23,801725,"A,A+,AA",BAL,"BAL (A,A+,AA)",26.0,24.0,6.0,0.0,110.1,88.0,48.0,0.11801242,135.0,4.0,3.915408035481527,1.3141994563537531,,,,,P,
Manuel Rodriguez,20,804973,"A+,AA",MIL,"MIL (A+,AA)",25.0,25.0,5.0,0.0,118.0,100.0,47.0,0.04458599,112.0,21.0,3.584746168318008,1.0254238448380117,,,,,P,
Manuel Perez,20,800207,CPX,OAK,OAK (CPX),16.0,11.0,1.0,0.0,57.1,79.0,44.0,0.08695652,51.0,3.0,6.90697573411473,1.796511365186407,,,,,P,
Omar Gonzalez,20,800439,CPX,NYY,NYY (CPX),13.0,10.0,2.0,0.0,53.0,28.0,22.0,0.15315315,54.0,5.0,3.735848922159126,1.1698112786558879,,,,,P,
Carlos Lagrange,23,801739,"A+,AA,AAA",NYY,"NYY (A+,AA,AAA)",32.0,31.0,11.0,0.0,153.1,109.0,63.0,0.12538226,214.0,14.0,3.6978262096181522,1.2456522152329226,,,,,P,
Hung-Leng Chang,24,800213,A+,PIT,PIT (A+),32.0,27.0,6.0,1.0,127.2,138.0,80.0,0.06939502,112.0,21.0,5.639687049188099,1.3864230662587411,,,,,P,
Anthony Cruz,23,800045,"A,A+",HOU,"HOU (A,A+)",31.0,11.0,8.0,2.0,121.1,106.0,63.0,0.12313433,122.0,12.0,4.673077045510812,1.4175824547228566,,,,,P,
Julio Mendez,21,801249,A,MIA,MIA (A),27.0,25.0,7.0,0.0,113.2,90.0,45.0,0.11247444,127.0,5.0,3.563050172245343,1.2756599382112956,,,,,P,
Yeiber Cartaya,23,805699,"A,A+",BAL,"BAL (A,A+)",30.0,19.0,4.0,1.0,125.0,71.0,43.0,0.1402214,153.0,4.0,3.0960000472412115,1.1760000179443362,,,,,P,
Liomar Martinez,21,801737,"A,A+",MIA,"MIA (A,A+)",28.0,26.0,6.0,0.0,123.1,90.0,54.0,0.11909263,154.0,10.0,3.940540642107903,1.2405405725154508,,,,,P,
