Name,Age,mlbID,Tm,Lev,team_abbr,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,depth
Jose Colmenare,24,683569,minors,Maj-NL,"PHI (A+,AA)",523,450,63,104,64,25,4,11,61,59,134,22,16,0.231,0.33,0.378,2B/SS,
Eddinson Paulin,23,682796,minors,Maj-AL,"TOR (A,AA)",389,354,39,71,44,11,3,13,41,28,100,8,4,0.201,0.27,0.359,2B/3B/SS,
Luke Ritte,29,682239,minors,Maj-NL,NYM (AAA),486,422,65,91,60,17,3,11,45,53,157,2,1,0.216,0.315,0.348,2B/3B,
Joe Naranj,24,683172,minors,Maj-NL,WSN (AA),418,348,45,79,61,14,1,3,35,61,98,2,0,0.227,0.344,0.299,1B,
Christian Cair,25,686551,minors,Maj-AL,CLE (AAA),598,497,90,124,92,25,3,4,41,78,128,45,11,0.249,0.366,0.336,2B/3B/SS,
DJ Gladne,24,687554,minors,Maj-AL,CHW (AA),506,466,61,117,80,21,4,12,62,27,154,12,7,0.251,0.294,0.391,OF,
Kellen Strah,29,687005,minors,Maj-AL,TEX (AAA),581,493,70,119,87,20,1,11,55,79,125,41,6,0.241,0.345,0.353,OF,
Jackson Cluf,29,687714,minors,Maj-NL,WSN (AAA),503,422,76,91,54,16,4,17,51,66,149,27,5,0.216,0.324,0.393,SS,
Cooper Johnso,28,666194,minors,Maj-AL,"TEX (AA,AAA)",489,418,46,91,59,20,1,11,51,61,144,4,1,0.218,0.322,0.349,C,
Corey Joyc,27,687144,minors,Maj-NL,CHC (AA),479,401,67,114,83,21,1,9,55,64,103,18,3,0.284,0.394,0.409,2B/SS,
Jake Holto,28,687724,minors,Maj-AL,"DET (AA,AAA)",582,498,79,125,69,32,2,22,88,77,147,6,1,0.251,0.354,0.456,1B,
Andrew Navigat,28,685382,minors,Maj-AL,DET (AAA),426,375,52,80,45,21,2,12,52,36,123,10,6,0.213,0.292,0.376,2B/SS,
Sammy Sian,25,686445,minors,Maj-NL,"PIT (A,AA,AAA,CPX)",476,422,57,86,59,14,4,9,50,50,103,22,6,0.204,0.288,0.32,OF,
William Lug,23,683493,minors,Maj-NL,NYM (AA),427,380,38,78,57,15,0,6,38,39,113,5,1,0.205,0.283,0.292,3B/SS,
Kervin Pichard,24,682775,minors,Maj-NL,PIT (AA),468,398,52,84,54,17,2,11,52,56,120,8,4,0.211,0.312,0.347,3B/SS,
Jase Bowe,25,687749,minors,Maj-NL,"PIT (A,A+,AA,AAA)",523,464,80,125,69,29,8,19,59,52,149,25,9,0.269,0.343,0.489,OF,
Darrien Mille,25,687152,minors,Maj-NL,MIL (AA),407,303,56,64,37,14,1,12,49,76,102,5,0,0.211,0.406,0.383,C,
T.J. Schofield-Sa,24,672013,minors,Maj-AL,"OAK (A+,AA)",508,446,60,121,90,21,5,5,55,28,107,4,1,0.271,0.352,0.374,1B/3B,
Ethan Hear,25,683001,minors,Maj-NL,CHC (AA),374,343,37,68,47,10,1,10,38,26,110,7,0,0.198,0.262,0.321,C,
Wuilfredo Antune,24,686404,minors,Maj-AL,"CLE (A+,AA)",556,498,75,125,64,28,9,24,82,45,137,17,4,0.251,0.314,0.488,OF,
Dasan Brow,24,672018,minors,Maj-AL,"TOR (AA,AAA)",401,328,54,62,47,9,1,5,19,54,114,45,9,0.189,0.315,0.268,OF,
Karson Sima,25,689302,minors,Maj-AL,"BOS (A+,AA,AAA)",452,403,62,100,73,16,3,8,46,40,114,33,3,0.248,0.328,0.362,2B/OF,
Shane Sasak,25,687071,minors,Maj-NL,"MIA (AA,AAA)",471,403,49,91,66,17,5,3,43,54,116,35,4,0.226,0.317,0.315,OF,
Trei Cru,27,669360,minors,Maj-AL,"DET (AA,AAA)",645,519,108,140,88,34,4,14,74,114,143,18,8,0.27,0.402,0.432,SS,
Hayden Cantrell,27,676463,minors,Maj-NL,"CHC (AA,AAA)",461,382,62,86,59,16,5,6,44,66,149,32,9,0.225,0.349,0.34,2B,
Trevor Hauve,27,669386,minors,Maj-AL,"TEX (AAA,CPX)",607,501,79,134,90,28,3,13,81,95,150,5,2,0.267,0.387,0.413,OF,
Aaron Sabat,27,693306,minors,Maj-AL,"MIN (A,AA,AAA)",540,484,64,127,72,23,2,30,87,46,155,2,0,0.262,0.33,0.504,1B,
Freddy Zamor,27,668965,minors,Maj-NL,MIL (AAA),470,400,57,96,69,23,0,4,50,60,86,14,7,0.24,0.344,0.328,SS,
David Calabres,23,683341,minors,Maj-AL,"LAA (A+,AA)",497,441,52,90,61,17,1,11,34,45,114,15,7,0.204,0.281,0.322,OF,
Austin Hendric,25,690988,minors,Maj-NL,CIN (AA),490,434,57,111,73,19,0,19,75,42,155,7,4,0.256,0.329,0.431,OF,
A.J. Vukovic,24,691021,minors,Maj-NL,ARI (AAA),529,478,87,137,86,23,4,24,88,47,139,0,2,0.287,0.352,0.502,3B/OF,
Jordan Nwog,27,685087,minors,Maj-NL,CHC (AA),505,436,67,122,102,13,3,4,53,45,117,31,7,0.28,0.368,0.351,OF,
Blaze Jorda,23,691458,minors,Maj-NL,"STL (AA,AAA)",697,632,100,175,108,38,2,27,121,55,79,7,3,0.277,0.339,0.472,1B/3B,
Milan Tolentin,24,675455,minors,Maj-AL,CLE (AAA),611,525,79,117,58,29,3,27,86,75,204,26,8,0.223,0.322,0.444,SS,
Zavier Warre,27,680518,minors,Maj-NL,MIL (AA),613,523,70,116,79,16,6,15,85,75,147,13,2,0.222,0.319,0.361,1B/3B,
Kevin Mad,23,691183,minors,Maj-NL,"WSN (A,AA)",379,336,36,77,65,8,0,4,44,31,61,10,2,0.229,0.3,0.289,SS,
Roberto Campo,23,691449,minors,Maj-AL,"DET (A+,AA)",437,388,49,95,65,22,4,4,41,42,109,5,2,0.245,0.318,0.353,OF,
Adrian Placenci,23,691269,minors,Maj-AL,"LAA (A+,CPX)",536,436,78,93,55,15,5,18,70,82,161,9,4,0.213,0.345,0.394,2B/SS,
Ian Lewis Jr,23,691588,minors,Maj-NL,"MIA (A,A+,AA)",389,343,57,89,60,16,4,9,43,36,61,44,13,0.259,0.335,0.408,2B/3B,
Reginald Preciad,23,691262,minors,Maj-NL,CHC (A+),394,358,36,82,57,20,0,5,46,27,105,10,4,0.229,0.299,0.327,3B,
Aeverson Arteag,23,692348,minors,Maj-NL,"SFG (AA,AAA)",556,506,46,106,76,19,2,9,56,35,147,7,1,0.209,0.264,0.308,SS,
Jhon Dia,23,691252,minors,Maj-AL,"TBR (A+,AA)",449,403,49,76,45,13,5,13,51,40,115,14,6,0.189,0.265,0.342,OF,
Matt Kopernia,28,689288,minors,Maj-NL,STL (AAA),609,544,80,137,98,20,3,16,78,54,115,10,3,0.252,0.32,0.388,OF,
Francisco Urbae,28,688005,minors,Maj-NL,CIN (AAA),519,451,81,138,91,37,6,4,59,53,52,5,5,0.306,0.382,0.441,2B,
Nick Rapos,28,695596,minors,Maj-AL,SEA (AA),430,372,44,97,74,17,2,4,49,48,83,7,3,0.261,0.35,0.349,C,
Victor Labrad,26,700032,minors,Maj-AL,"SEA (AA,AAA)",660,534,97,151,110,29,4,8,60,98,116,50,13,0.283,0.407,0.397,OF,
Ethan Workinge,24,689688,minors,Maj-NL,ATL (AA),586,523,63,114,72,21,2,19,83,52,110,15,5,0.218,0.293,0.375,OF,
Junior Franc,23,691285,minors,Maj-NL,"ARI (A+,AA)",401,355,53,104,73,19,3,9,48,38,65,19,8,0.293,0.366,0.439,OF,
Angel Orti,23,691292,minors,Maj-NL,"ARI (A+,AA)",616,540,77,146,91,35,6,14,80,57,121,14,4,0.27,0.337,0.435,OF,
Yerlin Confida,23,691398,minors,Maj-NL,CIN (A+),624,546,68,130,90,29,5,6,71,69,166,17,9,0.238,0.329,0.342,OF,
Wilfred Vera,23,691442,minors,Maj-AL,CHW (AA),581,516,56,111,80,14,4,13,72,52,174,19,8,0.215,0.289,0.333,OF,
Yeiner Fernande,23,691558,minors,Maj-NL,LAD (AA),465,411,51,100,83,15,0,2,40,41,53,2,2,0.243,0.323,0.294,C/2B,
Vincent Peroz,23,691710,minors,Maj-NL,"NYM (A,A+,AA,AAA)",369,316,43,77,58,12,2,5,38,35,78,6,6,0.244,0.345,0.342,C,
Adri\xc3\xa1n Sugaste,23,692368,minors,Maj-NL,SFG (AA),427,391,42,93,68,14,1,10,52,27,49,6,3,0.238,0.286,0.355,C,
Jeremy Riva,23,692405,minors,Maj-NL,STL (AA),606,525,74,113,76,22,1,14,70,64,161,32,9,0.215,0.314,0.341,SS,
Kala'i Rosari,23,693850,minors,Maj-AL,MIN (AA),706,602,108,147,78,32,5,32,99,93,206,37,8,0.244,0.351,0.473,OF,
Ricardo Oliva,24,691627,minors,Maj-AL,MIN (AA),532,460,77,123,79,21,0,23,87,64,97,15,5,0.267,0.359,0.463,C/OF,
Jose Dever,23,691410,minors,Maj-AL,"CLE (A+,AA)",626,571,77,129,75,36,5,13,75,44,177,14,5,0.226,0.286,0.375,SS,
Jheremy Varga,23,691621,minors,Maj-NL,"MIL (A+,AA,AAA)",397,360,33,78,71,7,0,0,35,32,82,13,8,0.217,0.285,0.236,2B/3B,
Ronald Rosari,23,691385,minors,Maj-AL,BOS (AA),484,435,42,93,68,13,0,12,66,38,110,5,3,0.214,0.284,0.326,C,
Johnny Ascani,22,691392,minors,Maj-NL,"CIN (A+,AA)",389,314,43,68,50,12,2,4,26,55,69,3,3,0.217,0.35,0.306,2B,
Maick Collad,23,691408,minors,Maj-AL,"CLE (A+,AAA)",396,357,40,90,63,22,1,4,41,30,61,3,1,0.252,0.307,0.353,1B/3B,
Esteban Gonz\xc3\xa1le,23,691416,minors,Maj-AL,CLE (A+),549,494,66,129,80,32,4,13,58,40,135,29,8,0.261,0.325,0.421,OF,
Jose Mez,23,691561,minors,Maj-NL,"LAD (A,A+)",652,527,84,125,90,20,4,11,86,99,159,37,12,0.237,0.371,0.353,OF,
Jared Sern,24,691858,minors,Maj-NL,"MIA (AA,AAA)",593,523,67,116,95,14,2,5,40,59,91,25,11,0.222,0.306,0.285,2B/SS,
Jesus Castill,22,691913,minors,Maj-NL,"PIT (A+,AA,AAA)",484,427,53,106,90,11,1,4,39,43,110,16,13,0.248,0.328,0.307,2B/3B,
Javier Riva,23,691922,minors,Maj-NL,"PIT (A+,AA)",589,541,69,131,84,23,1,23,94,26,134,5,2,0.242,0.291,0.416,3B/SS,
George Feli,23,692031,minors,Maj-AL,"SEA (A,CPX)",423,370,56,89,58,13,7,11,56,42,130,6,2,0.241,0.327,0.403,OF,
Carlos Jimene,23,692039,minors,Maj-AL,"SEA (A,A+)",628,530,93,136,91,20,7,18,89,87,152,33,17,0.257,0.366,0.423,OF,
Lizandro Espinoz,23,692371,minors,Maj-NL,"ATL (A+,AA)",554,487,87,108,59,26,6,17,58,51,153,39,15,0.222,0.302,0.405,SS,
Christian Cerd,23,692416,minors,Maj-NL,"ARI (AA,AAA)",432,360,49,85,50,14,0,21,61,57,78,1,0,0.236,0.34,0.45,C,
Miguel Villarroe,24,692446,minors,Maj-NL,"STL (A+,AAA)",357,320,54,86,68,12,2,4,41,29,90,27,6,0.269,0.335,0.356,3B/SS,
Victor Aria,22,692478,minors,Maj-AL,"TOR (A,A+,AA)",506,444,77,120,81,22,8,9,52,56,112,20,7,0.27,0.354,0.417,OF,
Alexis Hernande,23,692562,minors,Maj-AL,"TOR (A,A+,CPX)",444,378,64,98,65,20,3,10,50,50,95,20,6,0.259,0.355,0.407,OF,
Omar Alfonz,22,692657,minors,Maj-NL,"PIT (A+,AA)",588,505,69,119,78,24,1,16,72,72,171,2,0,0.236,0.338,0.382,C,
Kevin Villavicenci,22,692944,minors,Maj-NL,"NYM (A,A+,AAA)",418,373,48,81,57,16,3,5,45,30,70,23,10,0.217,0.281,0.316,2B/SS,
Arxy Hernande,22,694065,minors,Maj-AL,"CHW (A,A+)",592,534,56,116,89,15,4,8,52,45,148,8,2,0.217,0.289,0.305,3B,
Cristian Hern\xc3\xa1nde,22,694183,minors,Maj-NL,"CHC (A+,AA)",622,548,65,133,91,32,2,8,59,64,134,60,12,0.243,0.32,0.352,SS,
Cristian Santan,22,694184,minors,Maj-AL,"DET (A,A+)",521,401,69,75,43,13,2,17,65,98,133,10,1,0.187,0.362,0.357,3B/SS,
Danny De Andrad,22,694185,minors,Maj-AL,MIN (A+),627,555,70,120,72,27,9,12,71,55,154,17,6,0.216,0.305,0.362,SS,
Shalin Polanc,22,694186,minors,Maj-NL,PIT (A+),480,419,57,90,56,11,6,17,53,50,127,15,9,0.215,0.298,0.391,OF,
Pedro Pined,22,694191,minors,Maj-AL,"OAK (A,A+,CPX)",404,358,51,85,57,12,5,11,52,40,127,5,2,0.237,0.319,0.391,OF,
Victor Acost,22,694193,minors,Maj-NL,"CIN (A+,CPX)",425,358,49,78,61,11,3,3,33,38,85,13,4,0.218,0.324,0.291,2B/SS,
Angel Gena,22,694197,minors,Maj-AL,"CLE (AA,AAA,CPX)",520,455,73,123,85,24,5,9,57,59,85,9,1,0.27,0.354,0.404,SS,
Ariel Almont,22,694200,minors,Maj-NL,CIN (A+),414,377,37,71,41,18,2,10,38,34,141,3,1,0.188,0.256,0.326,OF,
Manuel Beltr,22,694202,minors,Maj-AL,"TOR (A,A+)",528,461,66,106,73,25,1,7,49,53,97,29,9,0.23,0.314,0.334,SS,
Maikol Hern\xc3\xa1nde,22,694204,minors,Maj-AL,"BAL (A,A+,AAA)",454,374,34,69,50,14,1,4,43,59,128,10,3,0.184,0.299,0.259,3B/SS,
Manuel Pen,22,694211,minors,Maj-NL,ARI (AA),627,582,96,168,101,36,3,28,84,35,143,3,2,0.289,0.329,0.505,2B,
Samuel Zaval,21,694214,minors,Maj-AL,"CHW (A+,AA)",643,535,86,134,96,22,2,14,67,95,141,26,10,0.25,0.367,0.378,OF,
Yeison Morrobe,22,694218,minors,Maj-AL,"TEX (A+,CPX)",418,379,42,79,53,15,1,10,45,36,79,4,4,0.208,0.282,0.332,OF,
Gabriel Gonzale,22,694224,minors,Maj-AL,"MIN (A+,AA,AAA)",721,638,98,186,118,42,3,23,84,61,116,8,6,0.292,0.36,0.475,OF,
Hendry Mende,22,694230,minors,Maj-NL,"PHI (AA,AAA)",621,519,92,156,114,22,5,15,86,82,91,12,4,0.301,0.399,0.449,OF,
Leonel Espinoz,23,696083,minors,Maj-NL,"CHC (A,A+)",598,539,88,139,107,21,3,8,68,47,130,39,9,0.258,0.323,0.353,OF,
Jesus Hernande,22,698929,minors,Maj-NL,"MIA (A,A+,AA)",399,344,48,83,53,20,4,6,46,46,99,23,4,0.241,0.344,0.375,3B/SS,
Ronald Hernande,22,698933,minors,Maj-NL,NYM (A+),516,438,63,97,63,20,4,10,67,65,115,27,7,0.221,0.328,0.354,C,
Yasmil Bucc,20,698935,minors,Maj-AL,"BAL (A,A+)",394,315,45,76,52,13,3,8,55,71,102,2,1,0.241,0.388,0.378,C/1B,
Anderson De Los Santo,22,698945,minors,Maj-AL,"BAL (A+,AA)",500,409,54,95,57,23,4,11,64,77,113,22,7,0.232,0.366,0.389,3B,
Ramon Peralt,21,698956,minors,Maj-NL,SFG (CPX),199,165,29,43,26,9,3,5,33,26,60,6,2,0.261,0.372,0.442,SS,
Esmerlyn Valde,22,699013,minors,Maj-NL,"PIT (A+,AA,AAA)",704,598,94,164,96,35,2,31,106,88,169,3,2,0.274,0.376,0.495,OF,
Leo Berna,22,699024,minors,Maj-NL,"STL (AA,AAA)",596,519,80,129,87,24,1,17,89,65,109,16,6,0.249,0.332,0.397,C,
Yancel Guerrer,21,699026,minors,Maj-NL,STL (CPX),176,146,23,32,23,7,0,2,19,17,49,26,6,0.219,0.337,0.308,1B/3B,
Thayron Liranz,22,699073,minors,Maj-AL,"DET (A,AA)",471,404,59,85,52,20,0,13,56,56,145,0,0,0.21,0.311,0.356,C,
Leo Balcaza,22,699114,minors,Maj-NL,"CIN (A+,AA)",724,626,91,164,122,25,1,16,84,77,107,10,7,0.262,0.349,0.382,SS,
Gregory Barrio,22,699126,minors,Maj-AL,"TBR (AA,CPX)",448,405,58,98,83,14,0,1,44,31,61,44,10,0.242,0.303,0.284,SS,
Jadher Areinam,22,699130,minors,Maj-AL,"TBR (A+,AA)",666,593,80,160,102,35,2,21,86,52,88,21,8,0.27,0.328,0.442,2B/SS,
Gleider Figuere,22,699213,minors,Maj-AL,TEX (A+),597,522,63,104,69,13,1,21,79,60,164,9,3,0.199,0.29,0.349,3B,
Anderdson Roja,22,699232,minors,Maj-NL,"ARI (A+,AAA)",615,530,71,128,98,26,3,1,48,60,95,22,10,0.242,0.316,0.308,OF,
Yohairo Cueva,22,699293,minors,Maj-NL,"NYM (A,A+)",464,381,60,86,62,19,3,2,27,70,116,24,3,0.226,0.36,0.307,1B/OF,
H\xc3\xa9ctor Rodr\xc3\xadgue,22,699302,minors,Maj-NL,"CIN (AA,AAA)",772,699,122,194,133,29,6,26,87,61,118,19,8,0.278,0.337,0.448,OF,
Pedro Ram\xc3\xadre,22,699393,minors,Maj-NL,"CHC (AA,AAA)",745,661,103,191,138,31,5,17,112,63,115,44,12,0.289,0.358,0.428,2B/3B,
Bryant Betancour,22,700164,minors,Maj-NL,"COL (AA,AAA)",481,427,51,103,70,18,0,15,59,46,92,4,1,0.241,0.315,0.389,C/1B,
Derlin Figuero,22,700283,minors,Maj-AL,"KCR (A,A+)",596,519,78,128,89,24,3,12,65,64,133,27,6,0.247,0.331,0.374,1B/3B,
Andy Pere,22,700321,minors,Maj-NL,"COL (A,A+,AA)",670,625,89,178,124,40,3,11,81,29,110,32,9,0.285,0.321,0.411,SS,
Adrian De Leo,22,700369,minors,Maj-NL,"ARI (A,A+,AA)",367,301,28,48,32,13,0,3,31,47,118,3,1,0.159,0.285,0.233,C,
Luis Pin,22,700720,minors,Maj-NL,"STL (A,A+)",480,402,52,80,50,19,2,9,47,60,154,10,4,0.199,0.322,0.323,OF,
Willy Monter,21,701206,minors,Maj-AL,"NYY (A,CPX)",349,321,27,76,64,7,1,4,43,25,86,9,4,0.237,0.292,0.302,OF,
Jorge Rui,22,702409,minors,Maj-AL,"LAA (A,A+)",655,575,88,156,119,29,6,2,60,54,116,25,10,0.271,0.341,0.353,OF,
Allan Castr,23,691369,minors,Maj-AL,"BOS (AA,AAA)",534,472,60,115,79,22,2,12,60,56,120,23,4,0.244,0.324,0.375,OF,
Johan Macia,23,691571,minors,Maj-AL,"LAA (A,A+)",591,511,84,130,100,21,7,2,61,48,88,18,5,0.254,0.329,0.335,2B,
Cesar Quinta,23,692364,minors,Maj-AL,SEA (A),492,416,64,109,66,30,4,9,70,45,115,15,4,0.262,0.37,0.418,OF,
Daniel Vazque,22,694187,minors,Maj-AL,"KCR (A+,AA,CPX)",649,569,75,147,110,29,5,3,66,66,143,35,9,0.258,0.333,0.343,SS,
Diego Velasque,22,694196,minors,Maj-NL,SFG (AA),678,559,84,143,112,25,1,5,47,87,104,26,6,0.256,0.365,0.331,2B/SS,
Eddy Rodrigue,21,699014,minors,Maj-NL,PIT (A),366,312,34,59,33,14,2,10,31,45,107,9,3,0.189,0.298,0.343,1B/OF,
Jos\xc3\xa9 Su\xc3\xa1re,21,699027,minors,Maj-NL,"STL (A,A+)",478,431,70,107,77,20,3,7,44,34,145,20,9,0.248,0.314,0.357,OF,
Anyelo Encarnaci\xc3\xb3,22,699031,minors,Maj-NL,"STL (A,A+)",449,384,49,85,57,15,3,10,54,58,139,22,5,0.221,0.333,0.354,2B/SS,
Ahbram Liend,22,699157,minors,Maj-AL,BOS (AA),562,494,67,114,90,15,4,5,43,57,143,48,10,0.231,0.312,0.308,2B/3B,
Ricardo Cov,22,699698,minors,Maj-AL,SEA (A),530,481,84,130,84,32,3,11,75,28,99,36,9,0.27,0.321,0.418,OF,
Hans Monter,22,694215,minors,Maj-AL,NYY (A),456,391,62,105,68,19,6,12,69,54,145,36,9,0.269,0.365,0.44,3B/SS,
Luis Suisbe,23,692044,minors,Maj-AL,SEA (A+),616,528,78,111,63,21,1,26,85,61,165,10,4,0.21,0.313,0.402,1B/3B,
Edward Dura,22,698927,minors,Maj-AL,"TOR (A,A+,CPX)",450,393,56,104,76,15,5,8,47,43,95,7,4,0.265,0.351,0.389,C,
Carlos Jorg,22,699115,minors,Maj-NL,"CIN (A+,AA)",582,505,86,134,102,16,6,10,53,63,108,50,8,0.265,0.355,0.38,2B/OF,
Spencer Packar,28,689070,minors,Maj-AL,"SEA (A+,AAA)",509,424,62,118,83,24,1,10,77,68,65,1,0,0.278,0.393,0.41,OF,
Marcos Casta\xc3\xb1o,27,676203,minors,Maj-NL,"SDP (AA,AAA)",608,547,73,148,96,31,2,19,91,49,135,4,4,0.271,0.337,0.439,2B/3B,
Max Ferguso,26,681132,minors,Maj-AL,"BOS (AA,AAA)",554,470,65,102,69,18,1,14,56,75,127,39,9,0.217,0.328,0.349,2B/OF,
Raylin Heredi,22,699712,minors,Maj-NL,"PHI (A+,AA,CPX)",357,329,54,95,57,23,2,13,59,16,96,10,2,0.289,0.329,0.489,OF,
Miguel Blei,22,694194,minors,Maj-AL,"BOS (A+,AA)",545,489,69,107,67,23,1,16,61,50,136,32,8,0.219,0.297,0.368,OF,
Tyler McDonoug,27,694812,minors,Maj-AL,"BOS (AA,AAA)",417,364,47,86,59,17,2,8,34,44,112,15,5,0.236,0.328,0.36,2B/OF,
Mike Antic,28,690443,minors,Maj-NL,STL (AAA),403,346,54,92,61,22,2,7,57,44,102,21,4,0.266,0.353,0.402,OF,
Abimelec Orti,24,694673,minors,Maj-AL,"TEX (AA,AAA)",686,586,105,149,84,34,3,28,111,82,145,4,3,0.254,0.359,0.466,1B,
Tyler Hardma,27,676205,minors,Maj-AL,NYY (AA),590,535,77,131,64,33,5,29,96,51,180,14,3,0.245,0.314,0.488,1B/3B,
Chris Meyer,27,680273,minors,Maj-AL,"DET (A,AA)",435,371,57,96,61,22,3,10,51,52,92,3,1,0.259,0.363,0.415,1B/OF,
Caleb Robert,26,681134,minors,Maj-NL,ARI (AA),445,385,59,92,57,21,3,11,60,47,105,8,3,0.239,0.33,0.395,C/OF,
Austin Mur,27,689456,minors,Maj-AL,"DET (A+,AA,AAA)",450,385,61,106,65,25,4,12,63,50,92,17,3,0.275,0.365,0.455,1B/OF,
Izaac Pachec,23,691789,minors,Maj-AL,"DET (A+,AA)",550,448,80,107,56,28,4,19,81,91,173,3,0,0.239,0.365,0.446,3B,
Justice Bigbi,27,694425,minors,Maj-AL,"DET (AA,AAA)",589,524,77,153,116,24,0,13,88,53,96,3,5,0.292,0.36,0.412,OF,
Ben Malger,26,701162,minors,Maj-AL,"DET (A+,AA,AAA)",476,413,76,120,70,28,9,13,54,47,94,9,4,0.291,0.372,0.496,OF,
Ben Cowle,26,701496,minors,Maj-NL,CHC (AAA),621,560,74,132,82,35,4,11,58,49,172,22,9,0.236,0.306,0.371,2B/SS,
Noah Mendlinge,25,702331,minors,Maj-NL,"STL (AA,AAA)",603,495,84,135,104,25,3,3,46,76,57,13,9,0.273,0.389,0.354,2B/3B/OF,
Jack Roger,27,679788,minors,Maj-NL,"CIN (AA,AAA)",440,382,39,90,65,19,2,4,57,49,132,5,3,0.236,0.324,0.327,1B/OF,
Joshua B\xc3\xa1e,23,695491,minors,Maj-NL,"STL (A+,AA,AAA)",660,563,101,154,92,29,4,29,104,70,156,61,10,0.274,0.366,0.494,OF,
Alex Binela,26,681323,minors,Maj-NL,"PHI (AA,AAA)",427,355,62,96,61,14,1,20,68,61,121,3,1,0.27,0.382,0.485,1B/3B,
Wes Clark,25,682265,minors,Maj-AL,"HOU (AA,AAA)",465,363,57,81,50,12,1,18,48,95,110,3,1,0.223,0.381,0.41,C/1B,
Ethan Murra,26,696140,minors,Maj-NL,"MIL (AA,AAA)",468,395,68,93,66,15,1,11,54,59,119,17,1,0.235,0.343,0.362,2B/SS,
Ruben Ibarr,27,702140,minors,Maj-NL,CIN (AA),525,440,62,101,56,22,0,23,85,61,139,0,0,0.23,0.344,0.436,1B,
Luke Waddel,27,680672,minors,Maj-NL,"ATL (A+,AA,AAA,CPX)",559,474,64,123,90,28,1,4,49,72,66,13,5,0.259,0.362,0.348,2B/SS,
Riley Tirott,27,694661,minors,Maj-AL,TOR (AAA),592,513,83,130,88,23,2,17,76,70,180,17,3,0.253,0.35,0.405,1B/3B,
Cal Conle,26,695462,minors,Maj-NL,"ATL (AA,AAA)",610,551,67,116,90,16,5,5,43,45,130,25,7,0.211,0.276,0.285,2B/SS,
Wyatt Youn,26,696281,minors,Maj-NL,NYM (AA),446,369,50,86,72,11,1,2,34,66,95,12,4,0.233,0.346,0.285,2B/SS,
Peyton Wilso,26,686523,minors,Maj-AL,"KCR (AA,AAA)",457,391,53,103,69,24,5,5,51,55,116,22,4,0.263,0.36,0.389,2B/OF,
Austin Gauthie,27,702789,minors,Maj-NL,LAD (AAA),617,493,91,126,91,26,3,6,59,114,123,12,1,0.256,0.395,0.357,2B,
Wilfredo Lar,22,702906,minors,Maj-NL,"MIA (A,A+,CPX)",408,345,48,63,38,14,5,6,44,52,96,23,8,0.183,0.292,0.304,3B,
Nic Ken,26,684715,minors,Maj-NL,"COL (AA,AAA)",419,367,43,81,59,15,3,4,50,36,91,7,1,0.221,0.305,0.311,2B/SS,
John Rhode,24,687981,minors,Maj-NL,LAD (AA),430,368,45,72,53,11,1,7,40,54,111,9,3,0.196,0.307,0.288,1B/OF,
Cameron Caule,23,695508,minors,Maj-AL,"TEX (AA,AAA)",661,575,97,141,87,29,7,18,61,74,163,38,7,0.245,0.331,0.414,2B/SS,
Benny Montgomer,23,695603,minors,Maj-NL,COL (AA),433,392,42,80,64,8,1,7,47,36,158,6,5,0.204,0.273,0.283,OF,
Ian Molle,23,695744,minors,Maj-AL,TEX (AA),381,330,44,70,50,13,0,7,45,46,116,8,2,0.212,0.311,0.315,C,
Garrett Spai,25,696521,minors,Maj-NL,"MIL (AA,AAA)",657,577,89,125,69,25,6,25,86,58,177,14,8,0.217,0.298,0.411,OF,
Josue Gonzale,22,700648,minors,Maj-AL,"NYY (A,A+)",356,291,48,51,28,13,3,7,32,49,83,16,3,0.175,0.309,0.313,C/1B,
Damon Keit,26,701618,minors,Maj-NL,LAD (AA),468,411,62,101,59,23,3,16,66,43,139,13,6,0.246,0.321,0.433,OF,
Reed Trimbl,26,701655,minors,Maj-AL,"BAL (A,A+,AA,AAA,CPX)",405,352,71,91,50,14,4,23,60,39,97,22,0,0.259,0.342,0.517,OF,
Juan Benjami,23,691405,minors,Maj-AL,"CLE (A+,AA,AAA)",434,373,60,96,66,24,1,5,48,50,84,23,3,0.257,0.347,0.367,2B/3B,
Adam Zebrowsk,25,700845,minors,Maj-NL,"ATL (AA,AAA)",440,400,42,95,67,13,0,15,55,32,140,4,1,0.238,0.302,0.382,C,
Drew Swif,27,669439,minors,Maj-AL,"OAK (AA,AAA)",598,519,80,131,106,20,3,2,57,68,154,22,4,0.252,0.34,0.314,SS,
Shane McGuir,27,676063,minors,Maj-AL,"OAK (AA,AAA)",436,364,54,98,71,18,0,9,54,62,93,8,4,0.269,0.385,0.393,C/1B,
BJ Murra,26,681230,minors,Maj-NL,"CHC (AA,AAA)",689,574,83,151,97,27,1,26,112,102,132,25,9,0.263,0.376,0.449,1B/3B,
James Trianto,23,701649,minors,Maj-NL,"CHC (A+,AAA)",627,577,98,154,109,32,2,11,71,41,92,39,12,0.267,0.317,0.386,2B/3B,
Dru Bake,26,681333,minors,Maj-AL,"TBR (AAA,CPX)",454,404,60,99,75,9,4,11,41,36,126,21,9,0.245,0.319,0.369,OF,
Braiden War,27,685274,minors,Maj-NL,"COL (AA,AAA)",466,377,94,109,80,21,5,3,47,49,76,77,10,0.289,0.412,0.395,OF,
