Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Will Smith C | LAD ,362,64,107,69,20,1,17,61,64,89,2,3,0.296,0.404,0.497,407
Nate Lowe 1B | CIN ,540,64,123,79,23,3,18,84,62,159,1,0,0.228,0.307,0.382,406
Bryan Reynolds OF | PIT,587,68,144,87,38,3,16,73,57,173,3,2,0.245,0.318,0.402,405
Victor Scott II OF | STL,398,54,86,65,15,1,5,37,42,111,34,4,0.216,0.305,0.296,400
Jordan Beck OF | COL,539,62,139,91,27,5,16,53,43,174,19,8,0.258,0.317,0.416,397
Marcell Ozuna DH | PIT,487,61,113,73,19,0,21,68,94,144,0,0,0.232,0.355,0.4,395
Matt McLain 2B | CIN ,510,73,112,79,18,0,15,50,55,167,18,2,0.22,0.3,0.343,392
Masyn Winn SS | STL ,491,72,124,88,27,0,9,51,34,102,9,5,0.253,0.31,0.362,388
Brenton Doyle OF | COL ,502,57,118,78,23,2,15,57,30,138,18,2,0.235,0.276,0.379,382
Harrison Bader OF | SF ,448,61,124,82,24,1,17,54,39,136,11,7,0.277,0.347,0.449,381
Max Muncy 3B | LAD,313,48,76,45,10,2,19,67,64,83,4,0,0.243,0.376,0.47,380
Jake Cronenworth 2B | SD ,419,61,103,71,20,1,11,59,69,107,3,3,0.246,0.367,0.377,380
Jake Mangum OF | PIT,405,37,120,98,18,1,3,40,19,64,27,6,0.296,0.33,0.368,379
Jackson Merrill OF | SD,440,59,116,69,25,6,16,67,33,108,1,2,0.264,0.317,0.457,379
Matt Shaw 3B | CHC ,393,57,89,52,21,3,13,44,38,94,17,5,0.227,0.295,0.394,376
Lars Nootbaar OF | STL ,509,68,119,81,24,1,13,48,64,119,4,5,0.234,0.325,0.361,373
Joseph Ortiz SS | MIL ,470,62,108,82,18,1,7,45,27,74,14,3,0.23,0.276,0.317,373
Jurickson Profar OF | ATL ,318,56,78,47,16,1,14,43,48,59,9,2,0.245,0.353,0.434,367
Alec Bohm 3B | PHI,464,53,133,101,18,3,11,59,29,82,2,0,0.287,0.331,0.409,360
Tyler Freeman OF | COL ,377,50,106,82,20,2,2,31,34,51,18,9,0.281,0.354,0.361,354
J.T. Realmuto C | PHI,502,57,129,90,26,1,12,52,35,129,8,2,0.257,0.315,0.385,349
Max Kepler OF | PHI ,417,58,90,53,19,0,18,52,48,93,3,0,0.216,0.3,0.391,347
Nolan Arenado 3B | ARI ,401,48,95,64,18,1,12,52,28,49,3,0,0.237,0.289,0.377,338
"Brett Baty 2B,3B | NYM ",393,53,100,67,13,2,18,50,33,108,8,0,0.255,0.313,0.435,338
Daylen Lile OF | WAS,321,51,96,61,15,11,9,41,21,56,8,6,0.299,0.347,0.498,336
Spencer Horwitz 1B | PIT,364,55,99,62,26,0,11,51,44,73,0,1,0.272,0.353,0.434,334
Carlos Santana 1B | ARI,415,49,91,69,11,0,11,54,52,91,7,0,0.219,0.308,0.325,333
Wilmer Flores 1B | SF,419,44,101,75,10,0,16,71,34,88,1,0,0.241,0.307,0.38,333
Andrew McCutchen DH | PIT,477,51,114,79,22,0,13,57,67,118,1,1,0.239,0.333,0.367,333
Brandon Marsh OF | PHI ,379,59,106,68,25,2,11,43,38,110,7,1,0.28,0.342,0.443,331
Ke'Bryan Hayes 3B | CIN,527,50,124,100,16,3,5,49,36,111,12,3,0.235,0.29,0.305,331
"Luis Rengifo 2B,3B | MIL",501,55,119,91,16,3,9,43,33,104,10,7,0.237,0.287,0.335,325
Carson Kelly C | CHC ,369,48,92,61,13,1,17,50,45,80,2,0,0.249,0.333,0.428,321
Ty France 1B | SD ,444,50,114,82,25,0,7,52,22,83,1,0,0.257,0.32,0.36,318
"Noelvi Marte 3B,OF | CIN ",339,45,89,56,17,2,14,51,16,85,10,3,0.263,0.3,0.448,315
Andrew Vaughn 1B | MIL ,406,35,103,67,22,0,14,65,31,80,0,0,0.254,0.307,0.411,309
Tommy Pham OF | PIT,392,44,96,68,17,1,10,52,50,94,5,3,0.245,0.33,0.37,302
"Tommy Edman 2B,OF | LAD ",346,49,78,51,13,1,13,49,19,61,3,1,0.225,0.274,0.382,301
Mark Vientos 3B | NYM,424,44,99,59,21,2,17,61,30,115,1,0,0.234,0.289,0.413,299
"Willi Castro 2B,3B,OF | COL ",402,58,91,60,17,3,11,33,40,111,10,4,0.226,0.314,0.366,299
Austin Riley 3B | ATL ,416,54,108,71,20,1,16,54,27,128,2,1,0.26,0.309,0.428,295
"Liam Hicks C,1B | MIA",332,37,82,62,13,1,6,45,43,56,2,0,0.247,0.346,0.346,280
"Javier Sanoja 2B,3B,OF | MIA",313,40,76,44,22,4,6,38,19,41,6,5,0.243,0.287,0.396,278
"Miguel Andujar 3B,OF | SD",321,36,102,74,17,1,10,44,17,49,1,0,0.318,0.352,0.47,277
"Jared Triolo 1B,3B,SS | PIT ",331,41,75,48,18,2,7,24,39,76,13,2,0.227,0.311,0.356,270
"Mauricio Dubon 2B,3B,SS,OF | ATL ",369,43,89,61,21,0,7,33,24,42,3,0,0.241,0.289,0.355,269
Alek Thomas OF | ARI ,433,51,108,77,19,3,9,38,21,122,7,4,0.249,0.289,0.369,267
Dylan Crews OF | WAS ,293,43,61,41,8,2,10,27,24,76,17,5,0.208,0.28,0.351,267
Gabriel Moreno C | ARI,277,44,79,57,12,1,9,40,29,53,2,2,0.285,0.353,0.433,265
Mike Tauchman OF | NYM,335,44,88,61,17,1,9,40,45,86,0,0,0.263,0.356,0.4,260
Michael Conforto OF | CHC ,418,54,83,51,20,0,12,36,56,121,1,0,0.199,0.304,0.333,256
Jakob Marsee OF | MIA ,209,28,61,35,18,3,5,33,22,48,14,6,0.292,0.363,0.478,254
Eli White OF | ATL,256,43,60,39,8,3,10,35,11,70,10,1,0.234,0.27,0.406,249
Jonah Heim C | ATL,395,38,84,59,14,0,11,43,32,88,3,0,0.213,0.271,0.332,243
Alex Call OF | LAD,270,43,72,52,13,2,5,31,36,55,2,1,0.267,0.361,0.385,241
Connor Norby 3B | MIA,311,42,78,52,17,1,8,34,18,90,8,2,0.251,0.3,0.389,239
"Ramon Urias 2B,3B | STL ",352,33,85,57,17,0,11,44,27,88,3,0,0.241,0.292,0.384,239
Ezequiel Tovar SS | COL,360,44,91,60,18,4,9,33,21,98,5,3,0.253,0.294,0.4,239
J.J. Bleday OF | CIN ,307,48,65,34,17,0,14,39,36,91,1,2,0.212,0.294,0.404,238
Dane Myers OF | CIN ,307,29,72,56,10,0,6,31,23,77,18,5,0.234,0.291,0.326,236
Heriberto Hernandez OF | MIA,256,40,68,45,12,1,10,45,31,77,1,1,0.266,0.347,0.438,236
Patrick Bailey C | SF,409,47,91,64,18,3,6,55,30,133,1,0,0.223,0.277,0.325,235
"Miguel Rojas 2B,3B,SS | LAD ",290,35,76,51,18,0,7,27,24,46,5,0,0.262,0.319,0.397,235
Jacob Young OF | WAS ,324,34,75,62,10,1,2,31,27,65,15,11,0.232,0.296,0.287,234
"Nolan Gorman 2B,3B | STL ",351,48,72,43,14,1,14,46,47,136,1,1,0.205,0.296,0.37,231
Tyler Stephenson C | CIN,299,40,69,38,18,0,13,50,37,116,0,1,0.231,0.316,0.421,223
Tyrone Taylor OF | NYM,310,34,69,46,18,3,2,27,16,76,12,2,0.223,0.279,0.319,222
"Casey Schmitt 2B,3B | SF ",312,34,74,47,15,0,12,40,27,83,0,0,0.237,0.305,0.401,216
Jordan Walker OF | STL,363,40,78,58,13,1,6,41,29,126,10,3,0.215,0.278,0.306,214
David Hamilton 2B | MIL,177,27,35,24,4,1,6,19,13,47,22,6,0.198,0.257,0.333,213
"Jose Iglesias 2B,3B,SS | SD ",306,29,70,56,11,0,3,36,24,56,5,1,0.229,0.298,0.294,211
Nick Gonzales 2B | PIT,381,39,99,73,18,3,5,30,21,73,0,2,0.26,0.299,0.362,210
Sean Murphy C | ATL ,291,34,58,29,13,0,16,45,35,105,0,0,0.199,0.3,0.409,206
"Edmundo Sosa 2B,3B | PHI",243,30,67,43,12,1,11,39,10,56,1,1,0.276,0.307,0.469,204
Pedro Pages C | STL ,361,38,83,57,15,0,11,45,19,107,0,0,0.23,0.272,0.363,203
"Dylan Moore 2B,OF | PHI ",219,35,44,28,5,0,11,25,20,82,14,5,0.201,0.268,0.374,200
"Jake Bauers 1B,OF | MIL",183,28,43,27,9,0,7,28,32,59,8,1,0.235,0.353,0.399,197
Will Benson OF | CIN,230,31,52,30,8,2,12,41,16,67,2,2,0.226,0.273,0.435,196
Christopher Morel OF | MIA ,278,37,61,34,16,0,11,33,25,109,7,2,0.219,0.288,0.396,191
Francisco Alvarez C | NYM ,246,32,63,39,12,1,11,32,27,73,0,0,0.256,0.339,0.447,190
Dominic Smith 1B | ATL ,204,26,58,41,12,0,5,33,15,42,2,0,0.284,0.333,0.417,183
Pavin Smith 1B | ARI,244,36,63,37,17,1,8,28,41,92,2,2,0.258,0.362,0.434,182
Freddy Fermin C | SD,319,32,80,62,13,0,5,26,19,65,1,2,0.251,0.297,0.339,176
Jose Trevino C | CIN,282,30,67,43,20,0,4,22,15,39,0,0,0.238,0.272,0.351,170
Luis Matos OF | SF,172,26,38,20,9,1,8,22,11,27,4,0,0.221,0.266,0.424,168
"Enrique Hernandez 1B,3B,OF | LAD ",232,30,47,29,8,0,10,35,18,68,0,0,0.203,0.255,0.366,158
Kyle Farmer 2B | ATL ,277,24,63,41,14,0,8,31,17,66,0,1,0.227,0.28,0.365,155
Johan Rojas OF | PHI ,152,23,34,28,3,2,1,18,13,40,12,2,0.224,0.28,0.289,153
Hye Seong Kim 2B | LAD ,161,19,45,35,6,1,3,17,7,52,13,1,0.28,0.314,0.385,153
Luis Torrens C | NYM,261,20,59,39,14,1,5,29,19,56,1,0,0.226,0.284,0.345,151
"Tim Tawa 1B,2B,OF | ARI ",199,29,40,25,8,0,7,18,20,64,8,2,0.201,0.274,0.347,150
Santiago Espinal 3B | LAD ,301,25,73,61,12,0,0,16,21,38,2,1,0.242,0.292,0.282,148
Jake McCarthy OF | COL,206,18,42,26,7,5,4,20,10,40,6,0,0.204,0.247,0.345,147
Keibert Ruiz C | WAS ,255,19,63,49,12,0,2,25,8,26,0,2,0.247,0.277,0.318,146
Otto Kemp 3B | PHI ,197,26,46,27,11,0,8,28,12,67,2,2,0.234,0.298,0.411,143
Joey Bart C | PIT,285,21,71,54,12,1,4,30,40,93,1,1,0.249,0.355,0.34,142
"Christian Koss 2B,SS | SF",174,25,46,34,9,0,3,23,9,45,4,1,0.264,0.308,0.368,141
Blake Perkins OF | MIL,155,25,35,24,6,2,3,19,15,47,7,2,0.226,0.298,0.348,138
"Thomas Saggese 2B,SS | STL ",275,25,71,53,16,0,2,25,16,83,3,0,0.258,0.299,0.338,137
Ha-seong Kim SS | ATL ,171,19,40,31,4,0,5,17,16,39,6,2,0.234,0.304,0.345,134
Brady House 3B | WAS ,261,26,61,46,11,0,4,29,8,78,5,3,0.234,0.252,0.322,132
Dylan Carlson OF | CHC ,217,17,44,28,9,1,6,20,21,54,3,3,0.203,0.278,0.336,122
Michael Toglia 1B | CIN ,306,22,58,31,15,1,11,32,28,132,3,0,0.19,0.258,0.353,121
Tyler Fitzgerald 2B | SF,217,19,47,32,10,1,4,14,17,70,9,4,0.217,0.279,0.327,120
Henry Davis C | PIT,252,25,42,28,7,0,7,22,18,76,2,1,0.167,0.234,0.278,117
Brandon Lockridge OF | MIL ,134,17,31,23,7,1,0,11,8,36,10,1,0.231,0.276,0.298,115
Reese McGuire C | MIL ,133,17,30,19,2,0,9,24,4,27,0,0,0.226,0.245,0.444,115
Nasim Nunez SS | WAS,82,13,19,13,2,0,4,13,8,20,9,1,0.232,0.297,0.402,115
Alex Verdugo OF | SD ,197,21,47,37,10,0,0,12,14,31,1,0,0.239,0.296,0.289,112
Jose Tena 3B | WAS,152,19,37,22,13,2,0,16,15,37,3,1,0.243,0.314,0.355,112
Graham Pauley 3B | MIA ,161,18,36,22,9,1,4,11,21,36,2,0,0.224,0.311,0.366,111
Yohel Pozo C | STL ,160,16,37,24,8,0,5,19,7,22,0,0,0.231,0.262,0.375,111
Miguel Amaya C | CHC,96,14,27,14,9,0,4,25,4,22,0,0,0.281,0.314,0.5,109
Alexander Canario OF | PIT,216,25,47,34,6,1,6,20,17,80,3,1,0.218,0.274,0.338,108
Robert Hassell OF | WAS,197,22,44,32,9,0,3,18,8,62,4,0,0.223,0.257,0.315,105
Justin Turner 1B | CHC,169,14,37,27,7,0,3,18,17,37,2,0,0.219,0.288,0.314,105
"Ryan Ritter 2B,SS | COL",187,22,45,32,9,3,1,18,10,61,3,1,0.241,0.296,0.337,103
James McCann C | ARI,123,18,32,21,6,0,5,17,8,33,0,0,0.26,0.324,0.431,99
Riley Adams C | WAS ,263,29,49,33,8,0,8,24,18,110,1,0,0.186,0.252,0.308,99
Warming Bernabel 1B | WAS ,139,15,35,22,8,1,4,14,7,25,1,1,0.252,0.288,0.41,98
Ronny Mauricio 3B | NYM ,168,19,38,26,6,0,6,10,15,54,4,0,0.226,0.293,0.369,97
